Open,Close,Year,Month,Date
440.19000199999994,450.19000199999994,1993,05,05/01/1993
450.23001100000005,450.52999900000003,1993,06,06/01/1993
450.540009,448.130005,1993,07,07/01/1993
448.130005,463.55999800000006,1993,08,08/01/1993
463.549988,458.92999299999997,1993,09,09/01/1993
458.92999299999997,467.829987,1993,10,10/01/1993
467.829987,461.790009,1993,11,11/01/1993
461.92999299999997,466.450012,1993,12,12/01/1993
466.51000999999997,481.60998499999994,1994,01,01/01/1994
481.60000599999995,467.14001500000006,1994,02,02/01/1994
467.19000199999994,445.76998899999995,1994,03,03/01/1994
445.660004,450.910004,1994,04,04/01/1994
450.910004,456.5,1994,05,05/01/1994
456.5,444.26998899999995,1994,06,06/01/1994
444.26998899999995,458.26000999999997,1994,07,07/01/1994
458.27999900000003,475.48999000000003,1994,08,08/01/1994
475.48999000000003,462.709991,1994,09,09/01/1994
462.69000199999994,472.35000599999995,1994,10,10/01/1994
472.26000999999997,453.69000199999994,1994,11,11/01/1994
453.549988,459.26998899999995,1994,12,12/01/1994
459.209991,470.420013,1995,01,01/01/1995
470.420013,487.39001500000006,1995,02,02/01/1995
487.39001500000006,500.709991,1995,03,03/01/1995
500.700012,514.710022,1995,04,04/01/1995
514.76001,533.400024,1995,05,05/01/1995
533.400024,544.75,1995,06,06/01/1995
544.75,562.0599980000001,1995,07,07/01/1995
562.0599980000001,561.880005,1995,08,08/01/1995
561.880005,584.409973,1995,09,09/01/1995
584.409973,581.5,1995,10,10/01/1995
581.5,605.369995,1995,11,11/01/1995
605.369995,615.929993,1995,12,12/01/1995
615.929993,636.02002,1996,01,01/01/1996
636.02002,640.429993,1996,02,02/01/1996
640.429993,645.5,1996,03,03/01/1996
645.5,654.169983,1996,04,04/01/1996
654.169983,669.119995,1996,05,05/01/1996
669.119995,670.630005,1996,06,06/01/1996
670.630005,639.950012,1996,07,07/01/1996
639.950012,651.98999,1996,08,08/01/1996
651.98999,687.330017,1996,09,09/01/1996
687.3099980000001,705.27002,1996,10,10/01/1996
705.27002,757.02002,1996,11,11/01/1996
757.02002,740.73999,1996,12,12/01/1996
740.73999,786.159973,1997,01,01/01/1997
786.159973,790.820007,1997,02,02/01/1997
790.820007,757.119995,1997,03,03/01/1997
757.119995,801.340027,1997,04,04/01/1997
801.340027,848.2800289999999,1997,05,05/01/1997
848.2800289999999,885.1400150000001,1997,06,06/01/1997
885.1400150000001,954.3099980000001,1997,07,07/01/1997
954.2899779999999,899.4699710000001,1997,08,08/01/1997
899.4699710000001,947.2800289999999,1997,09,09/01/1997
947.2800289999999,914.6199949999999,1997,10,10/01/1997
914.6199949999999,955.400024,1997,11,11/01/1997
955.400024,970.429993,1997,12,12/01/1997
970.429993,980.2800289999999,1998,01,01/01/1998
980.2800289999999,1049.339966,1998,02,02/01/1998
1049.339966,1101.75,1998,03,03/01/1998
1101.75,1111.75,1998,04,04/01/1998
1111.75,1090.819946,1998,05,05/01/1998
1090.819946,1133.839966,1998,06,06/01/1998
1133.839966,1120.670044,1998,07,07/01/1998
1120.670044,957.2800289999999,1998,08,08/01/1998
957.2800289999999,1017.01001,1998,09,09/01/1998
1017.01001,1098.670044,1998,10,10/01/1998
1098.670044,1163.630005,1998,11,11/01/1998
1163.630005,1229.22998,1998,12,12/01/1998
1229.22998,1279.640015,1999,01,01/01/1999
1279.640015,1238.329956,1999,02,02/01/1999
1238.329956,1286.369995,1999,03,03/01/1999
1286.369995,1335.180054,1999,04,04/01/1999
1335.180054,1301.839966,1999,05,05/01/1999
1301.839966,1372.709961,1999,06,06/01/1999
1372.709961,1328.719971,1999,07,07/01/1999
1328.719971,1320.410034,1999,08,08/01/1999
1320.410034,1282.709961,1999,09,09/01/1999
1282.709961,1362.930054,1999,10,10/01/1999
1362.930054,1388.910034,1999,11,11/01/1999
1388.910034,1469.25,1999,12,12/01/1999
1469.25,1394.459961,2000,01,01/01/2000
1394.459961,1366.420044,2000,02,02/01/2000
1366.420044,1498.579956,2000,03,03/01/2000
1498.579956,1452.430054,2000,04,04/01/2000
1452.430054,1420.599976,2000,05,05/01/2000
1420.599976,1454.599976,2000,06,06/01/2000
1454.599976,1430.829956,2000,07,07/01/2000
1430.829956,1517.680054,2000,08,08/01/2000
